date, pm25, pm10
2025/11/1, 10, 4
2025/11/2, 4, 11
2025/11/3, 8, 6
2025/11/4, 6, 9
2025/11/5, 21, 4
2025/11/6, 7, 4
2025/11/7, 6, 20
2025/11/8, 16, 7
2025/11/9, 11, 5
2025/11/10, 10, 5
2025/11/11, 9, 2
2025/11/12, 4, 2
2025/11/13, 4, 
2025/10/1, 7, 4
2025/10/2, 6, 4
2025/10/3, 8, 7
2025/10/4, 11, 3
2025/10/5, 7, 14
2025/10/6, 14, 4
2025/10/7, 9, 17
2025/10/8, 21, 6
2025/10/9, 8, 2
2025/10/10, 5, 5
2025/10/11, 10, 7
2025/10/12, 11, 2
2025/10/13, 4, 2
2025/10/14, 5, 9
2025/10/15, 24, 7
2025/10/16, 14, 5
2025/10/17, 8, 6
2025/10/18, 14, 7
2025/10/19, 9, 12
2025/10/20, 9, 25
2025/10/21, 17, 3
2025/10/22, 4, 4
2025/10/23, 6, 8
2025/10/24, 9, 2
2025/10/25, 4, 3
2025/10/26, 3, 27
2025/10/27, 16, 28
2025/10/28, 16, 8
2025/10/29, 6, 43
2025/10/30, 30, 21
2025/10/31, 15, 14
2025/7/1, 11, 37
2025/7/2, 26, 7
2025/7/3, 11, 4
2025/7/4, 6, 2
2025/7/5, 5, 2
2025/7/6, 5, 7
2025/7/7, 13, 8
2025/7/8, 15, 7
2025/7/9, 12, 9
2025/7/10, 15, 6
2025/7/11, 15, 5
2025/7/12, 13, 5
2025/7/13, 15, 7
2025/7/14, 17, 10
2025/7/15, 23, 7
2025/7/16, 15, 8
2025/7/17, 18, 10
2025/7/18, 22, 11
2025/7/19, 35, 8
2025/7/20, 31, 16
2025/7/21, 50, 15
2025/7/22, 48, 15
2025/7/23, 47, 11
2025/7/24, 30, 11
2025/7/25, 31, 5
2025/7/26, 13, 5
2025/7/27, 14, 5
2025/7/28, 13, 6
2025/7/29, 14, 7
2025/7/30, 19, 8
2025/7/31, 19, 14
2025/8/1, 37, 11
2025/8/2, 34, 9
2025/8/3, 32, 8
2025/8/4, 14, 5
2025/8/5, 9, 5
2025/8/6, 8, 7
2025/8/7, 15, 6
2025/8/8, 11, 5
2025/8/9, 10, 4
2025/8/10, 8, 7
2025/8/11, 11, 5
2025/8/12, 10, 4
2025/8/13, 6, 7
2025/8/14, 17, 6
2025/8/15, 18, 6
2025/8/16, 11, 5
2025/8/17, 10, 5
2025/8/18, 12, 7
2025/8/19, 11, 7
2025/8/20, 12, 4
2025/8/21, 6, 5
2025/8/22, 7, 4
2025/8/23, 9, 6
2025/8/24, 12, 4
2025/8/25, 6, 4
2025/8/26, 6, 5
2025/8/27, 8, 6
2025/8/28, 9, 5
2025/8/29, 9, 7
2025/8/30, 13, 5
2025/8/31, 13, 6
2025/9/1, 15, 7
2025/9/2, 16, 3
2025/9/3, 8, 5
2025/9/4, 9, 9
2025/9/5, 17, 7
2025/9/6, 16, 3
2025/9/7, 9, 5
2025/9/8, 11, 9
