date, pm25, pm10, no2
2025/11/1, 15, 9, 
2025/11/2, 25, 4, 
2025/11/3, 13, 2, 
2025/11/4, 7, 2, 
2025/11/5, 7, 3, 
2025/11/6, 9, 2, 
2025/11/7, 7, 4, 
2025/11/8, 18, 6, 
2025/11/9, 15, 4, 
2025/11/10, 15, 9, 
2025/11/11, 37, 3, 
2025/11/12, 9, 1, 
2025/11/13, 3, , 
2025/10/1, 19, 6, 
2025/10/2, 10, 7, 
2025/10/3, 14, 10, 
2025/10/4, 14, 5, 
2025/10/5, 13, 9, 
2025/10/6, 16, 3, 
2025/10/7, 6, 14, 
2025/10/8, 21, 8, 
2025/10/9, 12, 4, 
2025/10/10, 12, 2, 
2025/10/11, 7, 3, 
2025/10/12, 10, 15, 
2025/10/13, 19, 14, 
2025/10/14, 15, 3, 
2025/10/15, 10, 3, 
2025/10/16, 12, 3, 
2025/10/17, 10, 3, 
2025/10/18, 10, 1, 
2025/10/19, 6, 4, 
2025/10/20, 14, 3, 
2025/10/21, 12, 1, 
2025/10/22, 4, 1, 
2025/10/23, 6, 2, 
2025/10/24, 6, 4, 
2025/10/25, 9, 2, 
2025/10/26, 7, 18, 
2025/10/27, 38, 14, 
2025/10/28, 25, 15, 
2025/10/29, 27, 4, 
2025/10/30, 13, 5, 
2025/10/31, 19, 6, 
2025/7/1, 11, 5, 
2025/7/2, 13, 5, 
2025/7/3, 16, 3, 
2025/7/4, 8, 3, 
2025/7/5, 9, 3, 
2025/7/6, 8, 9, 
2025/7/7, 25, 5, 
2025/7/8, 15, 6, 
2025/7/9, 14, 6, 
2025/7/10, 14, 3, 
2025/7/11, 10, 4, 
2025/7/12, 15, 4, 
2025/7/13, 16, 8, 
2025/7/14, 29, 7, 
2025/7/15, 27, 6, 
2025/7/16, 21, 8, 
2025/7/17, 23, 14, 
2025/7/18, 28, 12, 
2025/7/19, 51, 12, 
2025/7/20, 45, 11, 
2025/7/21, 43, 11, 
2025/7/22, 43, 8, 
2025/7/23, 33, 8, 
2025/7/24, 33, 9, 
2025/7/25, 32, 5, 
2025/7/26, 21, 4, 
2025/7/27, 16, 5, 
2025/7/28, 18, 4, 
