date, pm25, pm10
2025/11/1, 14, 5
2025/11/2, 15, 5
2025/11/3, 14, 7
2025/11/4, 19, 6
2025/11/5, 14, 2
2025/11/6, 4, 6
2025/11/7, 19, 7
2025/11/8, 16, 33
2025/11/9, 53, 48
2025/11/10, 50, 19
2025/11/11, 31, 16
2025/11/12, 46, 5
2025/11/13, 17, 
2025/10/1, 29, 17
2025/10/2, 30, 9
2025/10/3, 18, 10
2025/10/4, 21, 8
2025/10/5, 16, 10
2025/10/6, 23, 6
2025/10/7, 15, 10
2025/10/8, 25, 5
2025/10/9, 13, 4
2025/10/10, 8, 5
2025/10/11, 11, 6
2025/10/12, 14, 11
2025/10/13, 26, 3
2025/10/14, 9, 4
2025/10/15, 9, 4
2025/10/16, 10, 2
2025/10/17, 5, 2
2025/10/18, 6, 3
2025/10/19, 6, 9
2025/10/20, 13, 13
2025/10/21, 24, 8
2025/10/22, 20, 8
2025/10/23, 19, 11
2025/10/24, 29, 12
2025/10/25, 27, 7
2025/10/26, 21, 20
2025/10/27, 49, 18
2025/10/28, 34, 6
2025/10/29, 17, 13
2025/10/30, 25, 46
2025/10/31, 44, 11
2025/7/1, 21, 6
2025/7/2, 12, 18
2025/7/3, 26, 4
2025/7/4, 6, 6
2025/7/5, 10, 8
2025/7/6, 16, 6
2025/7/7, 12, 10
2025/7/8, 18, 5
2025/7/9, 11, 8
2025/7/10, 15, 6
2025/7/11, 14, 5
2025/7/12, 11, 6
2025/7/13, 15, 11
2025/7/14, 22, 12
2025/7/15, 29, 11
2025/7/16, 23, 11
2025/7/17, 23, 12
2025/7/18, 32, 15
2025/7/19, 49, 13
2025/7/20, 46, 15
2025/7/21, 44, 16
2025/7/22, 47, 15
2025/7/23, 47, 14
2025/7/24, 40, 12
2025/7/25, 33, 4
2025/7/26, 11, 6
2025/7/27, 17, 7
2025/7/28, 18, 5
2025/7/29, 15, 9
2025/7/30, 29, 9
2025/7/31, 26, 14
2025/8/1, 41, 13
2025/8/2, 43, 12
2025/8/3, 35, 9
2025/8/4, 19, 11
2025/8/5, 19, 8
2025/8/6, 14, 5
2025/8/7, 13, 10
2025/8/8, 23, 6
2025/8/9, 15, 4
2025/8/10, 10, 7
2025/8/11, 16, 8
2025/8/12, 22, 7
2025/8/13, 16, 9
2025/8/14, 29, 10
2025/8/15, 31, 3
2025/8/16, 6, 4
2025/8/17, 8, 3
2025/8/18, 5, 4
2025/8/19, 8, 4
2025/8/20, 7, 2
2025/8/21, 3, 5
2025/8/22, 9, 2
2025/8/23, 4, 4
2025/8/24, 8, 6
2025/8/25, 10, 12
2025/8/26, 20, 8
2025/8/27, 13, 11
2025/8/28, 16, 8
2025/8/29, 15, 10
2025/8/30, 25, 10
2025/8/31, 23, 10
2025/9/1, 20, 10
2025/9/2, 22, 7
2025/9/3, 17, 8
2025/9/4, 19, 7
2025/9/5, 17, 6
2025/9/6, 16, 7
2025/9/7, 21, 11
2025/9/8, 22, 19
2025/9/9, 32, 10
2025/9/10, 22, 19
2025/9/11, 45, 14
2025/9/12, 27, 4
2025/9/13, 9, 5
2025/9/14, 9, 16
2025/9/15, 36, 11
2025/9/16, 18, 6
2025/9/17, 12, 7
2025/9/18, 13, 13
2025/9/19, 19, 5
2025/9/20, 12, 5
2025/9/21, 10, 4
2025/9/22, 7, 4
2025/9/23, 7, 4
2025/9/24, 9, 3
2025/9/25, 7, 11
2025/9/26, 26, 7
2025/9/27, 15, 11
2025/9/28, 19, 29
2025/9/29, 47, 16
2025/9/30, 26, 17
2025/4/1, 21, 7
2025/4/2, 21, 14
2025/4/3, 36, 12
2025/4/4, 14, 14
2025/4/5, 13, 5
2025/4/6, 10, 42
2025/4/7, 30, 5
2025/4/8, 9, 8
2025/4/9, 14, 4
2025/4/10, 12, 9
2025/4/11, 20, 10
2025/4/12, 27, 20
2025/4/13, 22, 19
2025/4/14, 26, 27
2025/4/15, 26, 46
2025/4/16, 37, 21
2025/4/17, 31, 4
2025/4/18, 11, 9
2025/4/19, 9, 12
2025/4/20, 12, 15
2025/4/21, 15, 9
2025/4/22, 16, 27
2025/4/23, 18, 22
2025/4/24, 19, 21
2025/4/25, 16, 12
2025/4/26, 14, 16
2025/4/27, 19, 5
2025/4/28, 13, 20
2025/4/29, 21, 13
2025/4/30, 17, 3
2025/5/1, 6, 4
2025/5/2, 10, 9
2025/5/3, 9, 12
2025/5/4, 14, 6
2025/5/5, 13, 18
2025/5/6, 14, 23
2025/5/7, 26, 7
2025/5/8, 10, 3
2025/5/9, 9, 9
2025/5/10, 13, 9
2025/5/11, 13, 17
2025/5/12, 21, 13
2025/5/13, 20, 10
2025/5/14, 12, 11
2025/5/15, 16, 7
2025/5/16, 10, 7
2025/5/17, 13, 9
2025/5/18, 18, 9
2025/5/19, 22, 11
2025/5/20, 14, 6
2025/5/21, 9, 14
2025/5/22, 23, 10
2025/5/23, 17, 17
2025/5/24, 28, 4
2025/5/25, 8, 9
2025/5/26, 16, 5
2025/5/27, 12, 7
2025/5/28, 17, 6
2025/5/29, 15, 5
2025/5/30, 13, 4
2025/5/31, 7, 5
2025/6/1, 11, 3
2025/6/2, 11, 7
2025/6/3, 15, 9
2025/6/4, 18, 6
2025/6/5, 14, 7
2025/6/6, 13, 6
2025/6/7, 15, 5
2025/6/8, 12, 5
2025/6/9, 12, 4
2025/6/10, 6, 10
2025/6/11, 16, 4
2025/6/12, 6, 10
2025/6/13, 16, 11
2025/6/14, 34, 11
2025/6/15, 35, 11
2025/6/16, 33, 5
2025/6/17, 15, 3
2025/6/18, 10, 5
2025/6/19, 11, 6
2025/6/20, 14, 5
2025/6/21, 13, 5
2025/6/22, 13, 11
2025/6/23, 24, 11
2025/6/24, 23, 14
2025/6/25, 28, 7
2025/6/26, 10, 11
2025/6/27, 22, 6
